st,ct,as,sa
56,942,Katra Bazar,262201
56,942,Kutchery,262001
56,942,Lohia Head,262301
56,942,Majhola,262302
56,942,Neorila,262305
56,942,Pilibhit,262001
56,942,Pilibhit Chowk,262001
56,942,Pilibhit City,262001
56,942,Pilibhit H O,262001
56,942,Sultanpur,262125
56,942,Abhaipur Bo,262122
56,942,Ahirwara Bo,262201
56,942,Amaria Dso,262121
56,942,Amkhera Bo,262203
56,942,Amra Karoor Bo,262201
56,942,Amrita Bo,262201
56,942,Azampur Barkhera Bo,262201
56,942,Bahadurpur Bo,262203
56,942,Bahanpur,262001
56,942,Bakania Bo,262202
56,942,Bamrauli Bo,262202
56,942,Banskhera Bo,262121
56,942,Baratbhoj,262001
56,942,Barehpura Bo,262121
56,942,Barhera Bo,262201
56,942,Barkhera Chaturaha Bo,262201
56,942,Barkhera So,262203
56,942,Bauni Bo,262201
56,942,Behtim Bo,262202
56,942,Bhaden Kanja Bo,243001
56,942,Bhadsara Bo,262121
56,942,Bhagwantapur Bo,262122
56,942,Bhairo Kalan Bo,262122
56,942,Bhikaripur,262001
56,942,Bhikaripur Bo,262201
56,942,Bhopatpura Bo,262203
56,942,Bifarcation Bo,262122
56,942,Bilsanda So,262202
56,942,Bisalpur So,262201
56,942,Bithora Kalan,262001
56,942,Chandia Hazara Bo,262122
56,942,Chandpura Bo,262201
56,942,Chandupur,262124
56,942,Churra Bo,262201
56,942,Dang,262001
56,942,Daulatpur Bo,262203
56,942,Deohana Bo,243001
56,942,Deoria Kalan Bo,262201
56,942,Dhakia Bo,262201
56,942,Dhuria Palia Bo,262122
56,942,Dudhia Khurd Bo,262122
56,942,Dunidam Bo,262302
56,942,Gajraula Kalan,262001
56,942,Ganesh Ganj Ndso,262001
56,942,Gehluiya,262001
56,942,Ghajhera Bo,262201
56,942,Ghatampur Bo,262122
56,942,Ghungchai Bo,262122
56,942,Gobhia Sarai Bo,262122
56,942,Gulabtanda Bo,262122
56,942,Harrai Bo,243001
56,942,Harraipur Bo,262121
56,942,Imalia Gangi Bo,262201
56,942,Intgoan Bo,262201
56,942,Jahanabad Edso,262001
56,942,Jallapur Bo,262201
56,942,Jamunia Bo,262124
56,942,Jatpura Ndedso,262001
56,942,Jeorah Kalyanpur Bo,262203
56,942,Kadherchaura Bo,262122
56,942,Kali Nagar,262124
56,942,Kalyanpur Khas,262001
56,942,Kanakore,262001
56,942,Kargaina Bo,262121
56,942,Karnapur Bo,262122
56,942,Karrkhera Bo,262201
56,942,Karunapur Karoor Bo,262203
56,942,Kasganja Bo,262122
56,942,Katra Bazar Ndtso,262201
56,942,Kesarpur Saidpur Bo,243123
56,942,Khajuria Pachpera Bo,262203
56,942,Khakra Ndtso,262001
56,942,Khamaria Pull,262001
56,942,Khandepur Bo,262201
56,942,Khundara,262001
56,942,Kishni Bo,262201
56,942,Kumirkha Bo,262201
56,942,Lalauri Khera,262001
56,942,Luhicha Bo,262201
56,942,Madhopur Bo,262201
56,942,Madhotanda Bo,262122
56,942,Madhupuri Bo,262203
56,942,Majhola Dso,262302
56,942,Maktul,262001
56,942,Mala Colony,262001
56,942,Meerpur Bahanpur Bo,262201
56,942,Meerpur Hamirpur Bo,243001
56,942,Mohammadpur Bhanja Bo,262201
56,942,Mudia Hulas Bo,262203
56,942,Mundalia Bo,262121
56,942,Narainpur Bo,262203
56,942,Naugawan Santosh Bo,262201
56,942,Naujalia Nakatia Bo,262122
56,942,Neoria Dso,262305
56,942,Neoria Mobile Bo,262305
56,942,Nizamdandi,262001
56,942,Paharganj Bo,262201
56,942,Pandari Bo,262305
56,942,Pania Ramkishan Bo,262203
56,942,Parasi Ramkishan Bo,262203
56,942,Parewa Vaish Bo,262121
56,942,Parsia Bo,262203
56,942,Pauta Kalan Bo,262203
56,942,Pilibhit Chowk Ndedso,262001
56,942,Pilibhit City Ndtso,262001
56,942,Pilibhit Ho,262001
56,942,Pilibhit Kutchery Ndtso,262001
56,942,Pipalia Bo,262121
56,942,Piparia Agroo,262001
56,942,Piperia Dulai Bo,262122
56,942,Piperia Mundan Bo,262203
56,942,Piperia Santosh Bo,262124
56,942,Pooranpur Dso,262122
56,942,Ram Nagar Jagatpur Bo,262203
56,942,Ramnagra Colony Bo,262122
56,942,Rampura Fakire Bo,262122
56,942,Ranth Bo,243001
56,942,Rasiayankhanpur Bo,262201
56,942,Richhaula,262001
56,942,Rohania Bo,262201
56,942,Roopur Kamaloo,262001
56,942,Rudrapur Bo,262122
56,942,Sabalpur Bo,262122
56,942,Sakhaula,262001
56,942,Sarauri,262001
56,942,Sehpura Bo,262203
56,942,Shahgarh Bo,262122
56,942,Sherpur Bo,262122
56,942,Shivnagar Bo,262122
56,942,Simra Akbar Ganj Bo,262203
56,942,Station Road Pilibhit Ndtso,262001
56,942,Suhas,262001
56,942,Sunpahar Bo,262302
56,942,Tirkunia Bo,262121
56,942,Udaikaranpur Bo,262122
56,946,Ambehta,247340
56,946,Badshahi Bagh,247122
56,946,Bahadurabad,249402
56,946,Bahail,247120
56,946,Bajoria Marg,247001
56,946,Behat,247121
56,946,Bhagwanpur,247661
56,946,Bhopatwala,249410
56,946,Buzurg,247120
56,946,Cantt Town,247664
56,946,Chakrata Road,247001
56,946,Chikhana,247231
56,946,Chuttmalpur,247662
56,946,Darululloom,247554
56,946,Deoband,247554
56,946,Ganesh Vatika,247667
56,946,Gangoh,247341
56,946,Gatta Mills,247001
56,946,Gopal Nagar Ind Estate,247001
56,946,Gref Centre,247669
56,946,Gurukul,249405
56,946,Gurukul Narsan,247670
56,946,Gurukulkangri,249404
56,946,Hassunpur,247111
56,946,Iqbalpur,247668
56,946,Jaroda Pandey,247453
56,946,Jhabrera,247665
56,946,Jwalapur,249407
56,946,Jwalapur Town,249407
56,946,Kankhal,249408
56,946,Khalapar,247001
56,946,Khalasi Line,247001
56,946,Kumharanpul,247001
56,946,Kutchery,247001
56,946,Labour Colony,247001
56,946,Lakhi Gate,247001
56,946,Landhaura,247664
56,946,Landhaura Town,247664
56,946,Lhaksar,247663
56,946,Lohari,247111
56,946,Mahavidyalaya,249405
56,946,Mangalore Town,247656
56,946,Meghchapar,247002
56,946,Melainagar,247673
56,946,Muzafarabad,247129
56,946,Nagal (saharanpur),247551
56,946,Nehur Market,247001
56,946,Paper Mill,247001
56,946,Raise,247671
56,946,Ramnagar,247667
56,946,Rampu (saharanpur),247451
56,946,Rani Bazar,247001
56,946,Rishikesh Vidyapith,249409
56,946,Rookee Cantt,247667
56,946,Rookee City,247667
56,946,Roorkee,247667
56,946,Roorkee University,247672
56,946,Saharanpur,247001
56,946,Saharanpur City,247001
56,946,Saharanpur H O,247001
56,946,Sapar Bazar,247001
56,946,Sarsawa,247232
56,946,Shaminagar,247667
56,946,Tirron,247343
56,946,A.chand,247451
56,946,Aghiana,247342
56,946,Alipura,247232
56,946,Ambehta Shekhan,247554
56,946,Amboli,247554
56,946,Anantmau,247452
56,946,Anwarpur Baroli,247129
56,946,B. Majbatta,247554
56,946,Babail Buzurg,247120
56,946,Babupur,247554
56,946,Bachiti,247551
56,946,Badheri Ghoghu,247001
56,946,Badhi,247342
56,946,Bahera,247120
56,946,Baliakheri,247001
56,946,Banderjud,247662
56,946,Banhera Khas,247554
56,946,Bansdei,247341
56,946,Bartha Kayastha,247231
56,946,Bastam,247554
56,946,Beenpur,247341
56,946,Bhabsi,247452
56,946,Bhaila Kalan,247554
56,946,Bhankla,247451
56,946,Bhari,247452
56,946,Bhuradev,247121
56,946,Biharigarh,247662
56,946,Budhakhera,247231
56,946,Buggawala,247662
56,946,Bus Stand Deoband,247554
56,946,Chakwali,247451
56,946,Chandena Koli,247554
56,946,Chauradev,247769
56,946,Chauri,247232
56,946,Chilkana,247231
56,946,Chutmalpur,247662
56,946,"darul Uloom, Deoband",247554
56,946,Dhaiki,247340
56,946,Dhakdei,247001
56,946,Dhangera,247551
56,946,Dhikka Kalan,247232
56,946,Dhorala,247340
56,946,Diwalheri,247554
56,946,Dudhla,247341
56,946,Faizabad,247121
56,946,Gaderheri,247232
56,946,Gagalheri,247769
56,946,Gangdaspur,247554
56,946,Ghaloli,247554
56,946,Ghatera,247451
56,946,Ghunna,247120
56,946,Gopali,247554
56,946,Gudamb,247451
56,946,Gunarsa,247554
56,946,Halalpur,247001
56,946,Halwana,247662
56,946,Harora,247769
56,946,Harpal,247001
56,946,"induatrial Estate, Deoband",247554
56,946,Jandhera Samaspur,247451
56,946,Jandkhera,247451
56,946,Jaroda Jatt,247554
56,946,Jaroda Panda,247453
56,946,Jasmour,247121
56,946,Jatonwala,247121
56,946,Jhabiran,247232
56,946,Jharwan,247341
56,946,Kailashpur,247001
56,946,Kalsia,247120
56,946,Kaluwala Jahanpur,247129
56,946,Kamboh Majra,247121
56,946,Kankarkui,247001
56,946,Kenduki,247554
56,946,Khadlana,247341
56,946,Khajnawar,247129
56,946,Khajoorwala,247551
56,946,Khajuri Akbarpur,247769
56,946,Khera Afgan,247340
56,946,Khera Mugal,247551
56,946,Kheri Shikohpur,247662
56,946,Khudana,247452
56,946,Khushalipur,247662
56,946,Kulsath,247554
56,946,Kunda Kalan,247341
56,946,Kurdi Khera,247129
56,946,Kuri,247554
56,946,Lakhnauti,247341
56,946,Lashkarpur,247662
56,946,Mahengi,247452
56,946,Malhipur,247001
56,946,Mavi Kalan,247001
56,946,Miragpur,247554
56,946,Mirjapur Poll,247121
56,946,Mohand,247662
56,946,Mora,247453
56,946,Mussail,247120
56,946,Muzaffrabad,247129
56,946,Nagal,247551
56,946,Nagrajpur,247001
56,946,Nakur,247342
