st,ct,as,sa
52,1051,Kherileela,341504
52,1051,Kheriseela,341504
52,1051,Khinwaj,341303
52,1051,Khinyala,341023
52,1051,Khinyas,341514
52,1051,Khojas,341305
52,1051,Khokhar,341512
52,1051,Khorandi,341509
52,1051,Khunkhuna Dso,341318
52,1051,Khurikallan,341503
52,1051,Kinsariya,341512
52,1051,Kiroda Rs,341301
52,1051,Kitalsar,341503
52,1051,Kod,341513
52,1051,Koliya Dso,341305
52,1051,Kuchamancity Lsg So,341508
52,1051,Kuchipala,341504
52,1051,Kukanwali Dso,341519
52,1051,Kukrod,341505
52,1051,Kum Merta Ndtso,341510
52,1051,Kumari,341021
52,1051,Kundari,341503
52,1051,Kupras,341511
52,1051,Kurchi,341025
52,1051,Kurdada,341503
52,1051,Kurdayan,341510
52,1051,Lachhari,341303
52,1051,Ladariya Dso,341517
52,1051,Ladawa,341518
52,1051,Ladnun Lsg Dso,341306
52,1051,Ladnuncity Ndtso,341306
52,1051,Ladoli,341520
52,1051,Lalana Khurd,341501
52,1051,Lalas,341509
52,1051,Lalsari,341303
52,1051,Lambajatan,341510
52,1051,Langod,341503
52,1051,Ledi,341304
52,1051,Lichana,341533
52,1051,Liliya,341518
52,1051,Loroli,341502
52,1051,Lunsara,341024
52,1051,Madpura,341025
52,1051,Makrana Ho,341505
52,1051,Makrana Rs,341505
52,1051,Makrana S.b.,341505
52,1051,Malgaon,341316
52,1051,Mamroda,341305
52,1051,Mamroli,341520
52,1051,Manakpura,341025
52,1051,Mandaljodhan,341503
52,1051,Mandukara,341319
52,1051,Manglod,341027
52,1051,Manjhi,341301
52,1051,Maroth Dso,341507
52,1051,Marwarbalia,341303
52,1051,Mawa,341303
52,1051,Mayapur,341512
52,1051,Medas,341518
52,1051,Merta City Ndts,341510
52,1051,Merta Lsg So,341510
52,1051,Merta Road Dso,341511
52,1051,Merwas,341030
52,1051,Midiyan,341503
52,1051,Mithariya,341503
52,1051,Mithri,305001
52,1051,Mithri Dso,341533
52,1051,Modiawat,341551
52,1051,Modicharana,341502
52,1051,Morer,341542
52,1051,Mori,341028
52,1051,Moriallan,341515
52,1051,Morikhurd,341503
52,1051,Morra,341510
52,1051,Mugadara,341510
52,1051,Mundghasoi,341509
52,1051,Mundiyar,341028
52,1051,Muwana,341508
52,1051,Nagari,341025
52,1051,Nagaur,341001
52,1051,Nagaurcity Ndtso,341001
52,1051,Nagwara,341519
52,1051,Nalot,341519
52,1051,Nandoli Mertiyan,341520
52,1051,Nandolichandawatan,341517
52,1051,Narwakallan,341025
52,1051,Nathawara,341031
52,1051,Nawacity Lsg Dso,341509
52,1051,Nawad,341319
52,1051,Neniya,341512
52,1051,Netariya,341510
52,1051,Netiyas,341503
52,1051,Nimbijodhan Dso,341316
52,1051,Nimbikhurd,341303
52,1051,Nimbola Bishwa,341031
52,1051,Nimbolakallan,341514
52,1051,Nimbri,341501
52,1051,Nimbrichandawatan,341024
52,1051,Nimbrikallan,341503
52,1051,Nundara,341504
52,1051,Nuwa,341551
52,1051,Odit,341316
52,1051,Oladan,341511
52,1051,Padukallan Dso,341031
52,1051,Padukhurd,341031
52,1051,Pahelipatti Ladnun Ndtso,341306
52,1051,Palara,341508
52,1051,Paliyas,341503
52,1051,Palot,341305
52,1051,Palrijodhan,341028
52,1051,Palrikallan,341503
52,1051,Palrinawa,341533
52,1051,Panchlasidha,341025
52,1051,Panchori,341001
52,1051,Panchota,341509
52,1051,Parewari,341516
52,1051,Pawa,341302
52,1051,Peeh,341503
52,1051,Peeplad,341512
