st,ct,as,sa
49,789,Sagra Bo,768224
49,789,Salebhadi Bo,768227
49,789,Salesingha Bo,768113
49,789,Sambalpur,768001
49,789,Sambalpur Court Ndt So,768001
49,789,Sangramal B. Camp Bo,768200
49,789,Sankarma Bo,768006
49,789,Sanmundaloi Bo,768227
49,789,Sarapali Bo,768106
49,789,Sarda Bo,768107
49,789,Sargidihi Bo,768228
49,789,Sasan Rs So,768200
49,789,Satkama Bo,768222
49,789,Shirod Bo,768107
49,789,Similipal Bo,768106
49,789,Sindurpank Bo,768005
49,789,Subarnapali Bo,768222
49,789,Tabadabahal Pssk,768200
49,789,Tabla Bo,768200
49,789,Tainsar Bo,768227
49,789,Talab Bo,768200
49,789,Talsara Bo,768228
49,789,Tampargarh Bo,768112
49,789,Tamperkela Bo,768200
49,789,Telitileimal Bo,768222
49,789,Themra Bo,768005
49,789,Tikiba Bo,768107
49,789,Tikilipada Bo,768107
49,789,Tileimal Bo,768221
49,789,Tribanpur Bo,768106
49,789,Turei Bo,768228
49,789,Turei-niktimal Bo,768227
49,789,Uchakapat Bo,768221
49,789,Uttargaon Bo,768228
49,790,Amarpali,767018
49,790,B.sibtala Bo,767016
49,790,Babupali Bo,767045
49,790,Badbhainro Bo,767016
49,790,Badkarle Bo,767045
49,790,Bagbar,767018
49,790,Baidyanath Bo,767017
49,790,Bankigirdi Bo,767045
49,790,Bankipali,767023
49,790,Bausuni Bo,767019
49,790,Beheramal,767023
49,790,Bhandar Bo,767019
49,790,Bhimtikra Bo,767019
49,790,Bisimunda Bo,767017
49,790,Brahmani Bo,767016
49,790,Chadeipank Bo,767062
49,790,Charbhata Bo,767016
49,790,Cherupali,767023
49,790,Chinajuri,767023
49,790,Deulpadar Bo,767020
49,790,Dharamsala Bo,767062
49,790,Digsira,767023
49,790,Dubula Bo,767016
49,790,Gajbandh Bo,767019
49,790,Ghodaghatpara Ndtso,767017
49,790,Harinapali Bo,767062
49,790,Hikudi Bo,767062
49,790,Hillung,767018
49,790,Jaloi,767018
49,790,Jatesingha,767018
49,790,Jhartarbha Bo,767016
49,790,Jullunda Bo,767019
49,790,Kadodar,767018
49,790,Kamsara Bo,767016
49,790,Karlajuri,767023
49,790,Kartang,767019
49,790,Kenghriapali,767018
49,790,Khambeswaripali Bo,767017
49,790,Khari Bo,767016
49,790,Kotsamalai,767018
49,790,Kumarkeli,767018
49,790,Lachhipur So,767068
49,790,Lingamani Bo,767045
49,790,Luthurpank,767018
49,790,Mahada,767019
49,790,Mahadevpali,767019
49,790,Maradoguchha Bo,767016
49,790,Matiapali Bo,767068
49,790,Mayurudan Bo,767017
49,790,Meghla,767019
49,790,Menda Bo,767016
49,790,Mursundhi,767018
49,790,Naikpada Bo,767062
49,790,Nakdei Bo,767062
49,790,Narayanpur Bo,767016
49,790,Panchamahala Bo,767062
49,790,Pitamahul,767018
49,790,Pua Bo,767016
49,790,R. Mayabarha Bo,767045
49,790,Raksa Bo,767062
49,790,Ranisarda Bo,767020
49,790,S. Kalapathar Bo,767017
49,790,S.mahada,767018
49,790,S.patrapali Bo,767062
49,790,Samaleichuan,767023
49,790,Sarasmal Bo,767045
49,790,Sargaj Bo,767016
49,790,Sargul,767023
49,790,Seledi,767019
49,790,Silati,767019
49,790,Sindhol Bo,767062
49,790,Sindurpur,767019
49,790,Singhari Bo,767016
49,790,Singhijuba Bo,767045
49,790,Sohela,767023
49,790,Sonepur Badbazar Ndtso,767017
49,790,Sonepur Mdg,767017
49,790,Sonepur Rampur So,767045
49,790,Spinning Mills Ndtso,767017
49,790,Tamamura,767023
49,790,Tarbha Bazar Ndtso,767016
49,790,Tarbha So,767016
49,790,Tullunda Bo,767016
49,790,Ullunda So,767062
49,791,Balisankara,770015
49,791,Banki Bazar,770046
49,791,Bargaon,770016
49,791,Barsuan,770041
49,791,Bhasma,770025
49,791,Bhedabahal,770026
49,791,Birmitrapur,770033
49,791,Bisra,770036
49,791,Bisra Road,770036
49,791,Bonaigarth,770038
49,791,Bondamunda,770032
49,791,C T D Bureau,770033
49,791,Civil Township,769012
49,791,Daily Market,769001
49,791,Dengibhadi,770001
49,791,Gopalpur (sng),770024
49,791,Gurundia,770043
49,791,Hatibari (rourkela),770047
49,791,Hemgir,770013
49,791,Hemgir Road,770075
49,791,Industrial Estate,770071
49,791,Jagada,769008
49,791,Jail Road,769004
49,791,Jalda,769043
49,791,Jhagarpur,770077
49,791,Jhirpani,769042
49,791,Kacheri Road,769012
49,791,Kalta,770052
49,791,Kalunga,770071
49,791,Kamarposh Balang,770049
49,791,Kansbahal,770034
49,791,Kenabeta,770051
49,791,Khuntagaon,770044
49,791,Kiralaga,770028
49,791,Kirei,770073
49,791,Kuarmunda,770039
49,791,Kundukela,770019
49,791,Kutra,770018
49,791,Lahunipara,770040
49,791,Lanjiberna,770023
49,791,Lathikata,770037
49,791,Lephripara,770012
49,791,Liplay Rajganapur,770017
49,791,Loco Colony,770032
49,791,Madhusudan Marg,769001
49,791,Mahisdihi,770001
49,791,Main Road,769001
49,791,Nuagan (rkl),770050
49,791,O M P Line (rourkela-10),769010
49,791,Panposh,769004
49,791,Panposh Road,769004
49,791,Purnapani,770035
49,791,Quairry Siding Panposh,769015
49,791,Raidihi,770029
49,791,Railway Colony,770017
49,791,Railway Colony (rourkela1,769013
49,791,Rajgangpur,770017
49,791,Rangadhipa (sundargarh-2),770002
49,791,Ranibagicha,770001
49,791,Ranibandha,770017
49,791,Regent Market,770001
49,791,Regional Engg College,769008
49,791,Rourkela H O,769001
49,791,Rourkela-2,769002
49,791,Rourkela-3,769003
49,791,Rourkela-4,769004
49,791,Rourkela-5,769005
49,791,Rourkela-6,769006
49,791,Rourkela-7,769007
49,791,Rourkela-8,769008
49,791,Rourkela-9,769009
49,791,Sahajbahal,770076
49,791,Saktinagar (rourkela-14),769014
49,791,Sankara,770020
49,791,Sarasara Balang,770045
49,791,Sargipalli,770021
49,791,Sector-15,769003
49,791,Sector-16,769003
49,791,Sector-2,769006
49,791,Sector-5,769002
49,791,Sector-6,769002
49,791,Sector-7,769003
49,791,Sector-8,769009
49,791,Sonarparbat (rourkela-16),769016
49,791,Subdega,770014
49,791,Sundargarh College,770001
49,791,Sundargarh Court,770001
49,791,Sundargarh H O,770001
49,791,Talsara,770074
49,791,Tangarpali,770027
49,791,Tensa,770042
49,791,Turmura,770031
49,791,Uditnagar (rourkela-12),769012
49,791,Ujaplur,770011
49,791,Vedvyas,769041
49,791,Zink Nagar,770072
